"theta","Rsigma","Rsigma_err","Rsigma_calc","Rpi","Rpi_err","Rpi_calc","theta_prime","theta_prime_delta"
"0.5235987755982988","0.09090909090909091","0.0006085598356577003","0.05779610540321308","0.07393939393939394","0.0006077150249141302","0.02524914654843","0.3398369094541219","0.042751661005395465"
"0.6108652381980153","0.09999999999999999","0.0006090833709770237","0.0660787577643718","0.07090909090909091","0.0006075823619904187","0.02003713176216985","0.3923753150151656","0.04126074425341892"
"0.6981317007977318","0.11090909090909092","0.0006097767362864649","0.07715773905139062","0.06909090909090909","0.0006075054153247156","0.014309547585401407","0.44285973861976646","0.0394600419250295"
"0.7853981633974483","0.12484848484848485","0.000610765719157866","0.09201336304552443","0.06606060606060607","0.0006073815917883726","0.008466458978947478","0.4908826782893113","0.03731670907472697"
"0.8726646259971648","0.14303030303030304","0.000612228513723094","0.11204835725651395","0.06363636363636364","0.0006072865137178384","0.0032775321513246027","0.5359944663828183","0.034796516013246695"
"0.9075712110370514","0.1575757575757576","0.0006135387485024015","0.12193709640937986","0.062424242424242424","0.0006072403021774148","0.0016740918522737773","0.5531152347607932","0.03367546411175492"
"0.9424777960769379","0.17212121212121212","0.0006149725703789438","0.13313004505123677","0.06","0.0006071505350966397","0.0005275657690304734","0.5696586838610281","0.03248693925797695"
"0.9773843811168246","0.1812121212121212","0.0006159310877205676","0.14581593211226546","0.06303030303030303","0.0006072632973017587","1.0442342353900745e-05","0.5855906464167312","0.03122925775648805"
"1.0122909661567112","0.19272727272727275","0.000617213680891675","0.1602126324597855","0.06787878787878789","0.0006074552226372207","0.00034217837562223525","0.6008761779530648","0.029901005542363614"
"1.0471975511965976","0.21878787878787878","0.0006203965484136439","0.17657148808284048","0.07333333333333333","0.0006076880506152186","0.0018019375215850236","0.6154797086703873","0.028501107336930318"
"1.1344640137963142","0.2703030303030303","0.0006278108446306205","0.22806295976661517","0.08969696969696969","0.0006084937661947093","0.012963380143988755","0.6487680249697303","0.02468478527395464"
"1.2217304763960306","0.3557575757575758","0.0006432708694347404","0.2995946779333269","0.12181818181818181","0.0006105409152169067","0.04249039280160204","0.6770054748534889","0.020422472324222802"